fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221108 215202	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	584	1	1	1	0.1	50	0.5	FALSE	66667	0.0997379310692306	0.799260508852014	0.698400820549456	4.26551649644706	0.0180026084401075	19173	42934000	32
20221108 215712	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	664	1	1	1	0.1	50	0.5	FALSE	66667	0.0345398833275586	0.584655286730453	0.446958361550479	8.28448262041598	0.0119973729444282	19142	43796000	33
20221108 220044	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	189	1	1	1	0.1	50	0.5	FALSE	66667	0.0405522634015023	0.300641462587798	0.15804203715031	9.47864944344713	0.0201283168699428	17461	45958000	34
20221108 220239	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	0.1	50	0.5	FALSE	66667	0.158434765684393	0.210700604263088	0.555146300130931	6.44168438122771	0.0215222082226844	16878	45924000	35
20221108 220425	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	164	1	1	1	0.1	50	0.5	FALSE	66667	0.136528042739313	0.577912577018421	0.198518831065309	9.01167996998271	0.0135560585276672	18716	43128000	36
20221108 223109	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1342	1	1	1	0.1	50	0.5	FALSE	66667	0.028114284911782	0.518598957530549	0.615138020274881	11.386051237748	4.66306021904371e-06	16914	45532000	37
20221108 223455	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	161	1	1	1	0.1	50	0.5	FALSE	66667	0.211501196522964	0.525369845933281	0.339028404699534	9.28927970870282	0.00395139346148549	18320	42720000	38
20221108 223911	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1855	1	1	1	0.1	50	0.5	FALSE	66667	0.192097722619891	0.64031702027088	0.161723808113043	4.4226577879379	0.0189534238277229	17954	45292000	39
20221108 224111	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	28	1	1	1	0.1	50	0.5	FALSE	66667	0.274273139702701	0.334447851467272	0.526276612772967	7.83192714050249	0.0185393322001887	17359	43442000	40
20221108 224429	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1000	1	1	1	0.1	50	0.5	FALSE	66667	0.0978261577525874	0.688309473131504	0.622731915863499	3.26866163439606	0.0215158040368807	17579	44682000	41
20221108 224656	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	91	1	1	1	0.1	50	0.5	FALSE	66667	0.131412906192446	0.311567363101989	0.496879354470328	7.23859010032727	0.0192190155707385	17631	45698000	42
20221108 225146	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	275	1	1	1	0.1	50	0.5	FALSE	66667	0.102789328414882	0.717606503927335	0.286803614845965	11.0860574732975	0.000402483171450219	18116	42088000	43
20221108 225431	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1379	1	1	1	0.1	50	0.5	FALSE	66667	0.252757759124197	0.636895780452062	0.671673583656584	1.71363236136874	0.0171713221528661	17559	41762000	44
20221108 225859	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	0.1	50	0.5	FALSE	66667	0.252326947083289	0.718341335163778	0.889015357452433	11.7716884082542	1.33745267514801e-05	17045	42470000	45
20221108 230137	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	136	1	1	1	0.1	50	0.5	FALSE	66667	0.238783805295923	0.605829765608301	0.346736575618712	9.88315813388187	0.0019538115804457	17058	43084000	46
20221108 230703	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2524	1	1	1	0.1	50	0.5	FALSE	66667	0.0921488419746328	0.765585438033333	0.166840402490762	4.26785947169573	0.0188902419089831	18167	44626000	47
20221108 231048	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	523	1	1	1	0.1	50	0.5	FALSE	66667	0.120664170256441	0.784434100701567	0.704270773669251	6.95617889545881	0.0108042571994899	16663	44834000	48
20221108 231802	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1019	1	1	1	0.1	50	0.5	FALSE	66667	0.0934312084576324	0.28673155204854	0.542680139046849	1.03364796172921	0.0288485162772294	18807	35826000	49
20221108 233331	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1447	1	1	1	0.1	50	0.5	FALSE	66667	0.0401950226454549	0.501065214848911	0.23191103169735	9.33328657514078	0.00360651890213992	17468	44824000	50
20221108 233918	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	501	1	1	1	0.1	50	0.5	FALSE	66667	0.162439459394301	0.797266362507376	0.782223220944212	8.90515297920054	3.22430337479946e-05	19304	41872000	51
20221108 234319	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	775	1	1	1	0.1	50	0.5	FALSE	66667	0.0375822187917936	0.592013311709557	0.555836178669054	5.2815992093049	0.0216226308430292	16740	46760000	52
20221108 234425	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	40	1	1	1	0.1	50	0.5	FALSE	66667	0.119283389939913	0.687694978167629	0.0871207614880987	9.73448037386779	0.0172991062739725	18347	43546000	53
20221108 235016	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	648	1	1	1	0.1	50	0.5	FALSE	66667	0.0375280615798058	0.623189878642466	0.590613496467145	8.274800108016	0.00898086442098489	18865	44270000	54
20221108 235300	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	257	1	1	1	0.1	50	0.5	FALSE	66667	0.109442517912718	0.792824963833671	0.179831281290576	10.2025366899832	0.00535432998399681	18162	43196000	55
