fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 163250	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3395	1	1	1	0.1	50	0.5	FALSE	102191	0.0105911408929256	0.201104597638989	0.977945966710669	11.9996712883815	1.91677513564385e-05	13687	19586000	32
20221029 163614	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	317	1	1	1	0.1	50	0.5	FALSE	102191	0.0638258181310997	0.452251630516199	0.416718213409014	11.9995729478244	1.0898868683607e-05	15242	17276000	33
20221029 165236	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3332	1	1	1	0.1	50	0.5	FALSE	102191	0.0100144077256229	0.21051462313923	0.999280518929768	10.3562570299971	4.52114622028822e-05	14179	18602000	34
20221029 165739	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1014	1	1	1	0.1	50	0.5	FALSE	102191	0.0100159956234866	0.441545374628282	0.732014631998549	6.07119638096227	0.0233652480440493	13516	18568000	35
20221029 170231	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	722	1	1	1	0.1	50	0.5	FALSE	102191	0.0102066912201831	0.379371638902812	0.999233353938204	8.11077194047179	0.0260879130829091	13605	19350000	36
20221029 170522	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	620	1	1	1	0.1	50	0.5	FALSE	102191	0.0224974227289145	0.338211538303318	0.999849852831477	6.31766554289796	0.0187101708984348	14754	18252000	37
20221029 171120	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	658	1	1	1	0.1	50	0.5	FALSE	102191	0.0101904525542443	0.472076598691268	0.998730848758106	8.77295142350382	0.0188095224962643	14775	17570000	38
20221029 171214	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	0.1	50	0.5	FALSE	102191	0.225583742062033	0.365274634966298	0.999791797411637	8.05000492400287	0.0375341559916884	14357	16326000	39
20221029 171716	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1021	1	1	1	0.1	50	0.5	FALSE	102191	0.0100923641846136	0.541187793185463	0.58045318039495	5.49591046928157	0.0233857898254191	13500	19240000	40
20221029 172235	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1222	1	1	1	0.1	50	0.5	FALSE	102191	0.0100780308638579	0.491242637728853	0.431039219018807	5.20663927527494	0.0227813609886225	13870	19140000	41
20221029 173125	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2552	1	1	1	0.1	50	0.5	FALSE	102191	0.0100541274866696	0.507930950882181	0.649766831188198	3.91771193148809	0.0212477276126001	15349	16982000	42
20221029 173610	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	809	1	1	1	0.1	50	0.5	FALSE	102191	0.0100709122342205	0.529167550467345	0.473901962005757	6.8451961308944	0.020888049098669	14494	17572000	43
